date,sub_region_2,workplaces_percent_change_from_baseline
2021-04-29,Greater Shepparton City,5.0
2021-04-29,Hepburn Shire,4.0
2021-04-29,Hobsons Bay City,-20.0
2021-04-29,Horsham Rural City,10.0
2021-04-29,Indigo Shire,8.0
2021-04-29,Kingston City,-15.0
2021-04-29,Latrobe City,0.0
2021-04-29,Macedon Ranges Shire,-7.0
2021-04-29,Manningham City,-13.0
2021-04-29,Maroondah City,-17.0
2021-04-29,Melbourne City,-28.0
2021-04-29,Melton City,0.0
2021-04-29,Mildura Rural City,-2.0
2021-04-29,Mitchell Shire,-1.0
2021-04-29,Moira Shire,-4.0
2021-04-29,Monash City,-21.0
2021-04-29,Moonee Valley City,-22.0
2021-04-29,Moorabool Shire,-3.0
2021-04-29,Moreland City,-23.0
2021-04-29,Mount Alexander Shire,0.0
2021-04-29,Moyne Shire,2.0
2021-04-29,Murrindindi Shire,0.0
2021-04-29,Nillumbik Shire,-11.0
2021-04-29,Northern Grampians Shire,4.0
2021-04-29,Port Phillip City,-36.0
2021-04-29,Shire of Mornington Peninsula,-2.0
2021-04-29,South Gippsland Shire,4.0
2021-04-29,Southern Grampians Shire,10.0
2021-04-29,Stonnington City,-33.0
2021-04-29,Surf Coast Shire,-9.0
2021-04-29,Swan Hill Rural City,-8.0
2021-04-29,Wangaratta Rural City,8.0
2021-04-29,Warrnambool City,-1.0
2021-04-29,Wellington Shire,3.0
2021-04-29,Whitehorse City,-17.0
2021-04-29,Whittlesea City,-9.0
2021-04-29,Wodonga City,3.0
2021-04-29,Yarra Ranges Shire,-10.0
2021-04-29,,-9.0
2021-04-29,City of Albany,14.0
2021-04-29,City of Armadale,-10.0
2021-04-29,City of Bayswater,-15.0
2021-04-29,City of Belmont,-17.0
2021-04-29,City of Bunbury,8.0
2021-04-29,City of Busselton,2.0
2021-04-29,City of Canning,-9.0
2021-04-29,City of Cockburn,-14.0
2021-04-29,City of Fremantle,-19.0
2021-04-29,City of Gosnells,-6.0
2021-04-29,City of Greater Geraldton,14.0
2021-04-29,City of Joondalup,-20.0
2021-04-29,City of Kalamunda,-7.0
2021-04-29,City of Kalgoorlie-Boulder,10.0
2021-04-29,City of Karratha,0.0
2021-04-29,City of Kwinana,-9.0
2021-04-29,City of Mandurah,-4.0
2021-04-29,City of Melville,-14.0
2021-04-29,City of Nedlands,-20.0
2021-04-29,City of Perth,-30.0
2021-04-29,City of Rockingham,-8.0
2021-04-29,City of South Perth,-25.0
2021-04-29,City of Stirling,-23.0
2021-04-29,City of Subiaco,-31.0
2021-04-29,City of Swan,-2.0
2021-04-29,City of Vincent,-34.0
2021-04-29,City of Wanneroo,-7.0
2021-04-29,Shire of Ashburton,13.0
2021-04-29,Shire of Augusta-Margaret River,13.0
2021-04-29,Shire of Broome,31.0
2021-04-29,Shire of Capel,15.0
2021-04-29,Shire of Dardanup,6.0
2021-04-29,Shire of East Pilbara,2.0
2021-04-29,Shire of Esperance,13.0
2021-04-29,Shire of Harvey,18.0
2021-04-29,Shire of Mundaring,-3.0
2021-04-29,Shire of Murray,1.0
2021-04-29,Shire of Northam,5.0
2021-04-29,Shire of Serpentine-Jarrahdale,-5.0
2021-04-29,Town of Bassendean,-23.0
2021-04-29,Town of Cambridge,-27.0
2021-04-29,Town of Claremont,-20.0
2021-04-29,Town of Cottesloe,
2021-04-29,Town of Port Hedland,6.0
2021-04-29,Town of Victoria Park,-29.0
