country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,New South Wales,Penrith City Council,,,,ChIJ2cP2pJGFEmsR2N7I77hDpcs,2021-04-29,0.0,19.0,65.0,-1.0,-3.0,2.0
AU,Australia,New South Wales,Port Macquarie-Hastings Council,,,,ChIJj4kTPrX1dWsRrmcDArjH8ww,2021-04-29,-3.0,1.0,-28.0,-35.0,8.0,0.0
AU,Australia,New South Wales,Port Stephens Council,,,,ChIJ0Tt7ebB6c2sREnSb-VieKEg,2021-04-29,-8.0,-8.0,-46.0,-12.0,7.0,2.0
AU,Australia,New South Wales,Queanbeyan City Council,,,,ChIJ95fCZKZJFmsRNKGDarWkyPU,2021-04-29,10.0,-2.0,,,5.0,1.0
AU,Australia,New South Wales,Randwick City Council,,,,ChIJfQeMKtGzEmsR3i4XKq6p-l4,2021-04-29,-8.0,-3.0,-12.0,-7.0,-14.0,6.0
AU,Australia,New South Wales,Richmond Valley Council,,,,ChIJC9YxlEkRmmsR8PM1-biXZ8k,2021-04-29,,,,,2.0,
AU,Australia,New South Wales,Shellharbour City Council,,,,ChIJUY2DyasSE2sRMC6q_pANFOU,2021-04-29,0.0,-1.0,2.0,-13.0,4.0,1.0
AU,Australia,New South Wales,Singleton Shire Council,,,,ChIJK_mqZreVDGsRoPbcp__Zsm8,2021-04-29,0.0,,,,14.0,
AU,Australia,New South Wales,Strathfield Municipal Council,,,,ChIJt5OKGRS7EmsReUbCyAhWCZs,2021-04-29,1.0,13.0,14.0,-5.0,-24.0,7.0
AU,Australia,New South Wales,Sutherland Shire,,,,ChIJz18KO-_GEmsRe3usN31cxv0,2021-04-29,-9.0,9.0,-23.0,-18.0,-13.0,4.0
AU,Australia,New South Wales,Tamworth Regional Council,,,,ChIJrzBUXf12oGsRSoi8IcpLBU4,2021-04-29,4.0,19.0,-5.0,-1.0,6.0,1.0
AU,Australia,New South Wales,The Council of the Municipality of Hunters Hill,,,,ChIJg5dCOHevEmsRfc_jZGAPEJM,2021-04-29,,,,,-6.0,
AU,Australia,New South Wales,The Council of the Municipality of Kiama,,,,ChIJFRo157FxE2sRMwfVc6Nyf3A,2021-04-29,-16.0,,-25.0,-11.0,-1.0,
AU,Australia,New South Wales,The Council of the Shire of Hornsby,,,,ChIJDwr6tWJaDWsRXtdc3D6SOMo,2021-04-29,-1.0,-3.0,39.0,-16.0,-12.0,7.0
AU,Australia,New South Wales,The Hills Shire,,,,ChIJlxNxTBteDWsRZ4vDrgj2qb0,2021-04-29,2.0,3.0,62.0,-13.0,-3.0,5.0
AU,Australia,New South Wales,Tumut Council,,,,ChIJY6ZhC1iqImsR_jpWByapnDc,2021-04-29,,,,,6.0,
AU,Australia,New South Wales,Tweed Shire Council,,,,ChIJW9VpO6rvkGsRJdQ1siH39ic,2021-04-29,-11.0,3.0,-22.0,-2.0,-1.0,2.0
AU,Australia,New South Wales,Wagga Wagga City Council,,,,ChIJ_wpT_mGeGGsRhxTOR7dH5dI,2021-04-29,-1.0,13.0,-13.0,-9.0,8.0,0.0
AU,Australia,New South Wales,Waverley Council,,,,ChIJg7-VbZatEmsRJQw1y1_6uBk,2021-04-29,-28.0,-7.0,-48.0,-33.0,-26.0,6.0
AU,Australia,New South Wales,Wingecarribee Shire Council,,,,ChIJ-Zps9s2XE2sRLt3bmJ8fsiA,2021-04-29,13.0,-14.0,,-15.0,13.0,0.0
AU,Australia,New South Wales,Wollondilly Shire Council,,,,ChIJ0_6nGBlREmsRC45Pefpvc6c,2021-04-29,16.0,,,-13.0,-1.0,2.0
AU,Australia,New South Wales,Wollongong City Council,,,,ChIJq88ZmCQcE2sRV6RG082xwM8,2021-04-29,-4.0,-2.0,-35.0,-27.0,-4.0,2.0
AU,Australia,New South Wales,Woollahra Municipal Council,,,,ChIJvd-UBsutEmsR-Y_wcrb_x0U,2021-04-29,2.0,2.0,-29.0,-18.0,-24.0,7.0
AU,Australia,New South Wales,Wyong Shire Council,,,,ChIJmZCXEd7TcmsRr0qD8TT0naM,2021-04-29,-4.0,6.0,-12.0,-24.0,-2.0,1.0
AU,Australia,New South Wales,Yass Valley Council,,,,ChIJWS4-TOcEF2sRNGakO9e2BIc,2021-04-29,,,,,-2.0,
AU,Australia,New South Wales,Young Shire Council,,,,ChIJSyxQFSr4GWsR1HSW5rEt8OE,2021-04-29,,,,,18.0,
AU,Australia,Northern Territory,Alice Springs Municipality,,,,ChIJB3MX8CscMisRt_xlRyflPuk,2021-04-29,31.0,,,-57.0,11.0,0.0
