ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
2021-04-28,AUS,GADM,AUS.5.65_1,Holroyd,-8.0,14.2,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.66_1,Hornsby,-14.3,16.4,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.68_1,Hurstville,-4.7,13.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.72_1,Kempsey,15.5,17.1,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.74_1,Kogarah,-1.5,12.2,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.75_1,Ku-ring-gai,-6.2,12.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.78_1,Lake Macquarie,-3.4,13.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.79_1,Lane Cove,-3.5,14.6,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.7_1,Bankstown,-3.2,14.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.81_1,Leichhardt,-4.1,14.1,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.82_1,Lismore,-10.8,15.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.83_1,Lithgow,-4.3,16.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.84_1,Liverpool,-2.0,13.2,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.87_1,Maitland,3.4,13.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.89_1,Marrickville,-6.5,11.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.8_1,Bathurst,5.5,13.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.90_1,Mid-Western Regional,12.2,17.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.95_1,Muswellbrook,3.4,14.4,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.96_1,Nambucca,-6.5,17.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.9_1,Bega Valley,-2.6,17.2,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.6.11_1,Palmerston,1.8,11.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.6.1_1,Alice Springs,8.3,10.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.6.6_1,Darwin,2.4,11.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.10_1,Bundaberg,2.0,18.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.13_1,Cairns,3.0,14.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.15_1,Cassowary Coast,-2.6,16.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.16_1,Central Highlands,15.6,16.2,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.26_1,Fraser Coast,-1.7,20.3,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.27_1,Gladstone,2.0,16.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.28_1,Gold Coast,-0.8,13.6,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.30_1,Gympie,6.7,18.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.33_1,Ipswich,4.1,14.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.34_1,Isaac,-6.3,11.5,full_february,DAY_OF_WEEK
